EDAD_VICTIMA,FECHA,FECHA_AA,FECHA_DD,FECHA_DECESO,FECHA_MM,ID,ROL_VICTIMA,SEXO_VICTIMA,VH_VICTIMA
43,18/2/2017,2017,18,18/2/2017,2,2017-0021,CONDUCTOR,MASCULINO,MOTO
39,23/2/2017,2017,23,23/2/2017,2,2017-0024,PEATON,MASCULINO,PEATON
23,24/2/2017,2017,24,24/2/2017,2,2017-0025,CONDUCTOR,MASCULINO,MOTO
19,26/2/2017,2017,26,26/2/2017,2,2017-0026,CONDUCTOR,MASCULINO,AUTO
23,26/2/2017,2017,26,26/2/2017,2,2017-0026,PASAJERO_ACOMPAÑANTE,FEMENINO,AUTO
SD,26/2/2017,2017,26,26/2/2017,2,2017-0027,PEATON,MASCULINO,PEATON
87,28/2/2017,2017,28,28/2/2017,2,2017-0028,PEATON,MASCULINO,PEATON
34,7/3/2017,2017,7,7/3/2017,3,2017-0029,SD,MASCULINO,SD
27,7/3/2017,2017,7,7/3/2017,3,2017-0030,CONDUCTOR,FEMENINO,AUTO
70,11/3/2017,2017,11,11/3/2017,3,2017-0031,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
40,12/3/2017,2017,12,12/3/2017,3,2017-0032,PASAJERO_ACOMPAÑANTE,FEMENINO,AUTO
28,12/3/2017,2017,12,12/3/2017,3,2017-0033,CONDUCTOR,MASCULINO,AUTO
43,13/3/2017,2017,13,13/3/2017,3,2017-0034,PEATON,MASCULINO,PEATON
28,23/3/2017,2017,23,23/3/2017,3,2017-0035,CONDUCTOR,MASCULINO,AUTO
30,23/3/2017,2017,23,23/3/2017,3,2017-0035,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
32,23/3/2017,2017,23,23/3/2017,3,2017-0035,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
20,29/3/2017,2017,29,29/3/2017,3,2017-0036,CONDUCTOR,MASCULINO,MOTO
SD,29/3/2017,2017,29,29/3/2017,3,2017-0036,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO
41,31/3/2017,2017,31,31/3/2017,3,2017-0037,CONDUCTOR,MASCULINO,MOTO
40,1/4/2017,2017,1,1/4/2017,4,2017-0038,CONDUCTOR,FEMENINO,MOTO
